courseNum,courseName,profName,1reg,1quota,2reg,2quota,3reg,3quota,4reg,4quota,exreg,exquota,totalreg,totalquota,reg,quota
ACEE243-00, 재료역학실험,한상윤 ACEE243-00,2,none,5,none,6,none,5,none,0,1,18,29 + 1,18,29
ACEE249-00, 재료역학,지광습 ACEE249-00,7,none,58,none,14,none,5,none,0,2,84,58 + 2,84,58
ACEE261-00, 초고층공학(영강),주영규 ACEE261-00,5,none,50,none,15,none,4,none,1,8,75,55 + 8,74,55
ACEE269-00, 측량학및실습(영강),강승모 ACEE269-00,0,none,3,none,16,none,5,none,1,5,25,39 + 5,24,39
ACEE283-00, 제도및BIM기초설계, ACEE283-00,0,none,18,none,35,none,11,none,0,0,64,12 + 0,64,12
ACEE313-00, 토질공학,최항석 ACEE313-00,1,none,5,none,28,none,7,none,0,4,41,95 + 4,41,95
ACEE321-01, 강구조설계I,강영종 ACEE321-01,0,none,6,none,40,none,17,none,1,3,64,60 + 3,63,60
ACEE321-02, 강구조설계I,주영규 ACEE321-02,0,none,2,none,8,none,1,none,0,2,11,50 + 2,11,50
ACEE323-00, 구조역학II, ACEE323-00,0,none,2,none,10,none,3,none,0,1,15,29 + 1,15,29
ACEE325-00, 수치해석(영강),최항석 ACEE325-00,0,0,8,5,41,50,10,15,1,10,60,70 + 10,59,70
ACEE327-00, 환경공학Ⅱ(영강),홍승관 ACEE327-00,0,none,2,none,3,none,3,none,2,6,10,40 + 6,8,40
ACEE329-00, 에너지열역학(영강),김동완 ACEE329-00,1,none,7,none,22,none,7,none,1,3,38,26 + 3,37,26
ACEE331-00, 수문학(영강),백경록 ACEE331-00,0,none,12,none,31,none,13,none,1,4,57,32 + 4,56,32
ACEE333-00, 철근콘크리트역학및설계,윤영수 ACEE333-00,0,none,11,none,36,none,11,none,0,5,58,100 + 5,58,100
ACEE343-00, 토질역학실험,최항석 ACEE343-00,0,none,0,none,9,none,5,none,0,1,14,30 + 1,14,30
ACEE351-00, 첨단건설재료및실험(영강),이종구 ACEE351-00,0,none,1,none,4,none,2,none,0,2,7,18 + 2,7,18
ACEE369-00, 건축시공(영강),조훈희 ACEE369-00,0,none,9,none,27,none,15,none,0,5,51,35 + 5,51,35
ACEE381-01, 건축설계II,배효정 ACEE381-01,0,none,0,none,1,none,1,none,0,0,2,15 + 0,2,15
ACEE381-02, 건축설계II,전문태 ACEE381-02,0,none,1,none,2,none,3,none,0,0,6,12 + 0,6,12
ACEE407-00, 환경모델링및시스템해석(영강),김지형 ACEE407-00,0,none,0,none,2,none,5,none,0,6,7,40 + 6,7,40
ACEE409-00, 도시급배수망전산설계,김중훈 ACEE409-00,0,none,0,none,2,none,3,none,0,2,5,50 + 2,5,50
ACEE431-00, 수자원시설물설계,유철상 ACEE431-00,0,none,0,none,2,none,7,none,0,2,9,55 + 2,9,55
ACEE435-00, 지반조사와비파괴평가,이종섭 ACEE435-00,0,none,1,none,12,none,20,none,1,2,34,40 + 2,33,40
ACEE439-00, 전산구조해석입문(영강),김승준 ACEE439-00,0,none,0,none,7,none,2,none,0,7,9,50 + 7,9,50
ACEE443-00, 공정관리, ACEE443-00,0,none,0,none,10,none,24,none,0,1,34,29 + 1,34,29
ACEE446-00, 가치공학, ACEE446-00,0,none,0,none,6,none,10,none,0,1,16,29 + 1,16,29
ACEE449-00, 건물에너지모델링및분석(영강),허연숙 ACEE449-00,0,none,0,none,3,none,6,none,0,4,9,27 + 4,9,27
ACEE471-01, 건설종합설계I,"최항석,주영규 ACEE471-01",0,none,0,none,3,none,3,none,0,1,6,20 + 1,6,20
ACEE471-02, 건설종합설계I,"조훈희,강승모 ACEE471-02",0,none,0,none,9,none,26,none,0,1,35,20 + 1,35,20
ACEE471-03, 건설종합설계I,이재상 ACEE471-03,0,none,0,none,0,none,0,none,0,1,0,20 + 1,0,20
ACEE471-04, 건설종합설계I,김동완 ACEE471-04,0,none,0,none,0,none,3,none,0,1,3,20 + 1,3,20
